cat,freq,n-grams
novidades,17,tarde
novidades,17,telefone
novidades,17,usuario
esportes,17,colocar
esportes,17,conhecer
esportes,17,derrota
esportes,17,parte
trabalhador,16,dever ser
trabalhador,16,ficar
trabalhador,16,participar
trabalhador,16,receber
problema,16,aguardar
problema,16,espaco
problema,16,esperar
problema,16,onibus
problema,16,tomar
policia,16,abandonar
policia,16,ano ser
policia,16,companheiro
policia,16,comunidade
policia,16,faccao
policia,16,garoto
policia,16,meio
policia,16,minuto
policia,16,momento
policia,16,morrer
policia,16,nao ir
policia,16,tempo
policia,16,trabalhar
novidades,16,Av
novidades,16,acordo
novidades,16,agente
novidades,16,aula
novidades,16,baixo
novidades,16,boa
novidades,16,chamar
novidades,16,fundamental
novidades,16,ganhar
novidades,16,jovem
novidades,16,necessario
novidades,16,passo
novidades,16,por
novidades,16,posto
novidades,16,professor
novidades,16,projeto
novidades,16,setembro
esportes,16,boa
esportes,16,conquistar
esportes,16,diferente
esportes,16,forma
esportes,16,profissional
esportes,16,volta
trabalhador,15,acordo
trabalhador,15,administrar
trabalhador,15,agencia
trabalhador,15,br categoria vaga
trabalhador,15,caren
trabalhador,15,caren baldo
trabalhador,15,caren baldo diariogaucho
trabalhador,15,chefe
trabalhador,15,conhecer
trabalhador,15,dizer
trabalhador,15,espaco
trabalhador,15,hoje
trabalhador,15,interessar
trabalhador,15,maior
trabalhador,15,mercado
trabalhador,15,novo
trabalhador,15,poder ser
trabalhador,15,postar br categoria
trabalhador,15,professor
trabalhador,15,quando
problema,15,acabar
problema,15,acao
problema,15,caminhao
problema,15,deixar
problema,15,desabafar
problema,15,entao
problema,15,ir fazer
problema,15,pedir
problema,15,preciso
problema,15,resposta
problema,15,sinalizar
problema,15,terreno
policia,15,acabar
policia,15,agora
policia,15,assassinato
policia,15,bom
policia,15,cabeca
policia,15,comecar
policia,15,crack
policia,15,dever
policia,15,dinheiro
policia,15,dono
policia,15,entregar
policia,15,guerra
policia,15,ja ter
policia,15,menor
policia,15,norte
policia,15,onibus
policia,15,prender
policia,15,proximo
policia,15,quarta feira
policia,15,revolver
policia,15,seguranca
policia,15,terca feira
policia,15,trabalho
novidades,15,alagar
novidades,15,alta
novidades,15,andar
novidades,15,assim
novidades,15,atingir
novidades,15,cair
novidades,15,clinico
novidades,15,correr
novidades,15,crime
novidades,15,diretor
novidades,15,duplo
novidades,15,eduardo
novidades,15,enquanto
novidades,15,entrar
novidades,15,evitar
novidades,15,exemplo
novidades,15,gratuito
novidades,15,lugar
novidades,15,nao ir
novidades,15,pedir
novidades,15,pouco
novidades,15,salario
novidades,15,serie
novidades,15,site
novidades,15,www
esportes,15,apenas
esportes,15,assim
esportes,15,campeonato
esportes,15,classico
esportes,15,conseguir
esportes,15,esperar
esportes,15,hora
esportes,15,meio
esportes,15,precisar
esportes,15,proximo
esportes,15,quarta
esportes,15,quarta feira
esportes,15,semana
esportes,15,substituir
esportes,15,times
esportes,15,vila
trabalhador,14,atender
trabalhador,14,atividade
trabalhador,14,centro
trabalhador,14,estado
trabalhador,14,fundamental
trabalhador,14,lei
trabalhador,14,mail
trabalhador,14,minimo
trabalhador,14,mulher
trabalhador,14,programa
trabalhador,14,querer
trabalhador,14,realizar
trabalhador,14,servico
trabalhador,14,site
trabalhador,14,superior
